Customer ID,Age,Income_Bucket,Gender,State,Region,Marital_Status,No_of_children,Occupation,Vehicle_Segment,No_of_months,Hobbies,On_Call_Offer
69058878,34,1,M,D,Sub-urban,1,4,White Collar Clerical,Compact SUV,48,Gaming,Plan 5
52648630,39,1,M,C,Urban,1,1,White Collar Clerical,Compact SUV,45,Gadgets,Plan 2
19963263,41,2,M,R,Sub-urban,1,0,White Collar Clerical,Compact SUV,48,Sketching,Plan 5
49740714,71,3,M,P,Sub-urban,1,3,White Collar Clerical,Compact SUV,20,Swimming,Plan 5
69986508,36,2,M,Q,Sub-urban,1,3,White Collar Clerical,Compact SUV,49,Painting,Plan 5
51593628,67,2,M,A,Sub-urban,2,1,White Collar Clerical,Compact SUV,14,Reading Books,Plan 5
69491284,20,2,M,Z,Urban,1,4,White Collar Clerical,Compact SUV,39,Gourmet Cooking,Plan 2
26353970,24,2,M,W,Sub-urban,2,2,White Collar Clerical,Compact SUV,37,Music,Plan 5
58950133,23,2,M,S,Sub-urban,2,3,White Collar Clerical,Compact SUV,38,Watching movies,Plan 5
20597886,49,1,M,X,Urban,1,1,White Collar Clerical,Compact SUV,55,Football,Plan 2
43682054,51,2,M,E,Sub-urban,1,3,White Collar Clerical,Compact SUV,22,Hockey,Plan 5
68251050,20,3,M,D,Sub-urban,1,4,White Collar Clerical,Car,42,Hiking,Plan 5
75778939,24,3,M,Q,Sub-urban,1,3,White Collar Clerical,Car,7,Para-gliding,Plan 5
66922995,57,1,M,A,Sub-urban,2,3,White Collar Clerical,Car,41,Adventure Sports,Plan 5
90033740,24,1,M,Z,Urban,2,4,White Collar Clerical,Car,58,Racing,Plan 5
20204982,48,2,M,W,Sub-urban,1,4,White Collar Clerical,Car,21,Gaming,Plan 5
46502930,27,3,M,S,Sub-urban,1,1,White Collar Clerical,Car,21,Gadgets,Plan 5
52792646,60,3,M,X,Urban,1,3,White Collar Clerical,Car,28,Sketching,Plan 5
35545280,67,3,M,E,Sub-urban,2,2,White Collar Clerical,Car,43,Hockey,Plan 5
97848804,20,2,M,D,Sub-urban,2,4,White Collar Clerical,Car,14,Hiking,Plan 5
11118307,30,3,M,C,Urban,2,1,White Collar Clerical,Car,39,Para-gliding,Plan 5
92034750,37,2,M,R,Sub-urban,1,0,White Collar Clerical,Car,58,Adventure Sports,Plan 5
46353267,56,1,M,P,Sub-urban,2,3,White Collar Clerical,Car,15,Racing,Plan 5
63550356,20,3,M,Q,Sub-urban,2,2,White Collar Clerical,Car,17,Gaming,Plan 5
18564977,25,1,M,A,Sub-urban,1,3,White Collar Clerical,Car,16,Gadgets,Plan 5
70108658,49,2,M,Z,Urban,2,3,White Collar Clerical,Car,15,Sketching,Plan 5
94584821,75,2,M,W,Sub-urban,1,3,White Collar Clerical,Car,45,Music,Plan 5
26999018,33,1,M,S,Sub-urban,1,3,White Collar Clerical,Car,50,Watching movies,Plan 5
75073408,35,2,M,G,Sub-urban,1,1,White Collar Clerical,Car,51,Football,Plan 5
68312735,19,3,M,B,Urban,2,1,White Collar Clerical,Car,28,Hockey,Plan 5
24252623,24,3,M,Y,Sub-urban,2,1,White Collar Clerical,Car,52,Hiking,Plan 5
71902971,67,2,M,H,Sub-urban,2,3,White Collar Clerical,Car,19,Para-gliding,Plan 5
58192488,19,2,M,N,Urban,1,1,White Collar Clerical,Car,44,Adventure Sports,Plan 5
81467068,70,3,M,U,Sub-urban,1,1,White Collar Clerical,Car,23,Racing,Plan 5
17993393,54,1,M,J,Sub-urban,2,3,White Collar Clerical,Car,18,Gaming,Plan 5
45501192,41,2,M,M,Urban,1,3,White Collar Clerical,Car,58,Gadgets,Plan 5
70499411,60,2,M,I,Sub-urban,1,4,White Collar Clerical,Car,44,Sketching,Plan 5
93700840,68,3,M,K,Sub-urban,1,1,White Collar Clerical,Car,7,Swimming,Plan 5
78741422,35,3,M,L,Sub-urban,2,3,White Collar Clerical,Car,34,Painting,Plan 5
24801479,75,2,M,O,Sub-urban,2,1,White Collar Clerical,Car,24,Reading Books,Plan 5
66937493,68,1,M,P,Sub-urban,1,4,White Collar Clerical,Car,12,Gourmet Cooking,Plan 5
88375225,32,3,M,Q,Sub-urban,1,4,White Collar Clerical,Car,56,Music,Plan 5
94639081,67,1,M,A,Sub-urban,1,2,White Collar Clerical,Car,25,Watching movies,Plan 5
65331283,53,1,M,Z,Urban,1,2,White Collar Clerical,Car,18,Football,Plan 5
14404180,19,3,M,W,Sub-urban,2,1,White Collar Clerical,Car,20,Hockey,Plan 5
14137334,54,3,M,S,Sub-urban,1,2,White Collar Clerical,Car,31,Hiking,Plan 5
11583574,48,1,M,X,Urban,2,4,White Collar Clerical,Car,36,Para-gliding,Plan 5
67688785,69,2,M,G,Sub-urban,2,1,White Collar Clerical,Car,54,Adventure Sports,Plan 5
78811029,67,1,M,B,Urban,2,1,White Collar Clerical,Car,16,Racing,Plan 5
28469013,72,3,M,Y,Sub-urban,1,4,White Collar Clerical,Car,31,Gaming,Plan 5
20745400,75,3,M,H,Sub-urban,2,1,White Collar Clerical,Car,14,Gadgets,Plan 5
59955418,32,2,M,N,Urban,1,4,White Collar Clerical,Car,6,Sketching,Plan 5
32643459,64,2,M,U,Sub-urban,1,3,White Collar Clerical,Car,55,Football,Plan 5
48198117,51,2,M,J,Sub-urban,1,1,White Collar Clerical,Car,40,Football,Plan 5
91321768,57,3,M,M,Urban,2,3,White Collar Clerical,SUV,31,Football,Plan 5
25799234,36,3,M,I,Sub-urban,2,0,White Collar Clerical,Compact SUV,52,Football,Plan 5
19337828,49,3,M,K,Sub-urban,1,1,White Collar Clerical,Car,28,Football,Plan 5
98397939,59,1,M,L,Sub-urban,2,1,White Collar Clerical,Pick up truck,24,Football,Plan 4
41034245,69,1,M,O,Sub-urban,2,1,White Collar Clerical,Pick up truck,22,Football,Plan 4
76255343,35,2,M,P,Sub-urban,1,4,White Collar Clerical,Pick up truck,45,Football,Plan 4
42572541,25,2,M,Q,Sub-urban,2,3,White Collar Clerical,Pick up truck,45,Football,Plan 4
22460539,46,1,M,A,Sub-urban,1,3,White Collar Clerical,Pick up truck,21,Football,Plan 4
39551789,32,2,M,Z,Urban,1,2,White Collar Clerical,Pick up truck,55,Football,Plan 5
39360006,18,2,M,W,Sub-urban,1,1,White Collar Clerical,Pick up truck,19,Football,Plan 4
73284909,64,3,M,S,Sub-urban,1,0,White Collar Clerical,Pick up truck,33,Football,Plan 4
34709057,58,2,M,X,Urban,1,3,White Collar Clerical,Pick up truck,31,Football,Plan 5
53255775,63,2,M,E,Sub-urban,1,1,White Collar Clerical,Pick up truck,19,Football,Plan 4
19302875,57,3,M,D,Sub-urban,2,0,White Collar Clerical,Pick up truck,45,Football,Plan 4
58144565,71,3,M,C,Urban,1,4,White Collar Clerical,Pick up truck,18,Football,Plan 5
49379250,66,2,M,D,Sub-urban,1,0,White Collar Clerical,Pick up truck,49,Football,Plan 4
22093866,31,2,M,C,Urban,2,3,White Collar Clerical,Pick up truck,60,Football,Plan 5
59143764,33,1,M,R,Sub-urban,2,4,White Collar Clerical,Pick up truck,42,Football,Plan 4
83846067,65,3,M,F,Sub-urban,2,4,White Collar Clerical,Pick up truck,48,Football,Plan 4
18148467,39,3,M,V,Urban,2,0,White Collar Clerical,Pick up truck,26,Football,Plan 5
71157382,51,3,M,T,Sub-urban,2,3,White Collar Clerical,Pick up truck,6,Football,Plan 4
31327203,38,3,M,G,Sub-urban,1,0,White Collar Clerical,Pick up truck,45,Football,Plan 4
97608590,23,2,M,B,Urban,1,1,White Collar Clerical,Pick up truck,60,Football,Plan 5
53691878,29,2,M,Y,Sub-urban,1,4,White Collar Clerical,Pick up truck,49,Football,Plan 4
23294812,19,2,M,H,Sub-urban,1,2,White Collar Clerical,Pick up truck,41,Football,Plan 4
33160287,52,3,M,N,Urban,1,0,White Collar Clerical,Pick up truck,14,Football,Plan 5
53648684,60,2,M,U,Sub-urban,2,1,White Collar Clerical,Pick up truck,13,Football,Plan 4
42135146,54,1,M,J,Sub-urban,2,0,White Collar Clerical,Pick up truck,42,Football,Plan 4
77150236,52,2,M,M,Urban,1,2,White Collar Clerical,Pick up truck,26,Football,Plan 5
91747979,35,2,M,I,Sub-urban,1,2,White Collar Clerical,Pick up truck,54,Football,Plan 4
42183783,27,2,M,K,Sub-urban,1,3,White Collar Clerical,Pick up truck,14,Football,Plan 4
62959974,40,2,M,L,Sub-urban,1,2,White Collar Clerical,Pick up truck,29,Football,Plan 4
92561189,35,2,M,O,Sub-urban,2,4,White Collar Clerical,Pick up truck,52,Football,Plan 4
29993517,21,2,M,P,Sub-urban,1,0,White Collar Clerical,Pick up truck,59,Football,Plan 4
23793396,51,3,M,Q,Sub-urban,2,3,White Collar Clerical,Pick up truck,29,Football,Plan 4
14806152,34,3,M,A,Sub-urban,1,4,White Collar Clerical,Pick up truck,13,Football,Plan 4
56770823,62,3,M,Z,Urban,2,3,White Collar Clerical,Pick up truck,13,Football,Plan 5
10969489,18,2,M,W,Sub-urban,2,2,White Collar Clerical,Pick up truck,45,Football,Plan 4
64740287,47,3,M,S,Sub-urban,1,0,White Collar Clerical,Pick up truck,58,Football,Plan 4
81077859,35,1,M,X,Urban,2,1,White Collar Clerical,Pick up truck,38,Football,Plan 5
62898435,50,2,M,E,Sub-urban,1,3,White Collar Clerical,Pick up truck,36,Football,Plan 4
75552045,19,3,M,D,Sub-urban,1,1,White Collar Clerical,Pick up truck,34,Football,Plan 4
21413550,74,3,M,Q,Sub-urban,2,4,White Collar Clerical,Pick up truck,49,Football,Plan 4
96740122,42,1,M,A,Sub-urban,2,4,White Collar Clerical,Pick up truck,52,Football,Plan 4
42191377,21,2,M,Z,Urban,2,3,White Collar Clerical,Pick up truck,34,Football,Plan 5
69753867,27,1,M,W,Sub-urban,2,4,White Collar Clerical,Pick up truck,27,Football,Plan 4
69415819,63,2,M,S,Sub-urban,2,1,White Collar Clerical,Pick up truck,45,Football,Plan 4
73398729,24,2,M,X,Urban,1,1,White Collar Clerical,Pick up truck,32,Football,Plan 5
82477608,19,2,M,E,Sub-urban,1,1,White Collar Clerical,Pick up truck,46,Football,Plan 4
56878096,70,3,M,D,Sub-urban,1,0,White Collar Clerical,Pick up truck,51,Football,Plan 4
95109355,33,1,M,C,Urban,2,4,White Collar Clerical,Pick up truck,35,Football,Plan 5
61138527,44,3,M,R,Sub-urban,1,3,White Collar Clerical,Pick up truck,53,Football,Plan 4
63761006,58,1,M,P,Sub-urban,2,0,White Collar Clerical,Pick up truck,55,Football,Plan 4
13163339,56,1,M,Q,Sub-urban,2,2,White Collar Clerical,Pick up truck,42,Football,Plan 4
33647746,73,3,M,A,Sub-urban,2,2,White Collar Clerical,Pick up truck,6,Football,Plan 4
11390865,57,1,M,Z,Urban,2,1,White Collar Clerical,Pick up truck,21,Football,Plan 5
19863375,50,2,M,W,Sub-urban,1,0,White Collar Clerical,Pick up truck,10,Football,Plan 4
96308795,70,3,M,S,Sub-urban,2,2,White Collar Clerical,Pick up truck,60,Football,Plan 4
86907493,74,2,M,X,Urban,1,3,White Collar Clerical,Pick up truck,14,Football,Plan 5
13820004,45,3,M,Q,Sub-urban,1,1,White Collar Clerical,Pick up truck,42,Football,Plan 4
98872686,67,1,M,A,Sub-urban,2,1,White Collar Clerical,Pick up truck,34,Football,Plan 4
35689530,51,2,M,Z,Urban,1,1,White Collar Clerical,Pick up truck,6,Football,Plan 5
52307607,37,1,M,W,Sub-urban,1,2,White Collar Clerical,Pick up truck,11,Football,Plan 4
21232963,67,1,M,S,Sub-urban,1,3,White Collar Clerical,Pick up truck,17,Football,Plan 4
15497188,45,3,M,X,Urban,2,2,White Collar Clerical,Pick up truck,38,Football,Plan 5
57018954,66,1,M,E,Sub-urban,1,1,White Collar Clerical,Pick up truck,11,Football,Plan 4
89298351,33,1,M,D,Sub-urban,1,2,White Collar Clerical,SUV,18,Football,Plan 1
39845751,21,2,M,C,Urban,2,4,White Collar Clerical,Compact SUV,43,Football,Plan 2
40801218,40,2,M,R,Sub-urban,1,0,White Collar Clerical,Car,19,Football,Plan 5
16488561,74,2,M,F,Sub-urban,1,4,White Collar Clerical,SUV,8,Football,Plan 1
12968751,74,3,M,V,Urban,2,2,White Collar Clerical,SUV,45,Football,Plan 5
10484410,41,2,M,T,Sub-urban,1,1,White Collar Clerical,SUV,30,Football,Plan 1
54642916,65,3,M,G,Sub-urban,2,0,White Collar Clerical,SUV,29,Football,Plan 1
22403302,75,1,M,B,Urban,2,0,White Collar Clerical,SUV,7,Football,Plan 5
56211997,69,2,M,Y,Sub-urban,2,2,White Collar Clerical,SUV,10,Football,Plan 1
94893036,55,1,M,H,Sub-urban,2,0,White Collar Clerical,SUV,26,Football,Plan 1
50757389,43,2,M,N,Urban,1,0,White Collar Clerical,SUV,10,Football,Plan 5
23262729,37,2,M,U,Sub-urban,2,0,White Collar Clerical,SUV,28,Football,Plan 1
97852742,68,3,M,J,Sub-urban,2,0,White Collar Clerical,SUV,12,Football,Plan 1
50373652,68,2,M,M,Urban,2,2,White Collar Clerical,SUV,54,Football,Plan 5
92585727,33,1,M,I,Sub-urban,1,0,White Collar Clerical,SUV,10,Football,Plan 1
44573553,40,2,M,K,Sub-urban,2,1,White Collar Clerical,SUV,33,Football,Plan 1
32822009,18,2,M,L,Sub-urban,2,0,White Collar Clerical,SUV,52,Football,Plan 1
85123636,54,2,M,O,Sub-urban,1,1,White Collar Clerical,SUV,52,Football,Plan 1
75762361,69,2,M,P,Sub-urban,2,3,White Collar Clerical,SUV,55,Football,Plan 1
53674286,51,2,M,Q,Sub-urban,1,0,White Collar Clerical,SUV,48,Football,Plan 1
38844566,59,3,M,A,Sub-urban,2,2,White Collar Clerical,SUV,15,Football,Plan 1
89047612,74,2,M,Z,Urban,2,3,White Collar Clerical,SUV,17,Football,Plan 5
37474751,35,1,M,W,Sub-urban,1,4,White Collar Clerical,SUV,38,Football,Plan 1
47068662,55,1,M,S,Sub-urban,2,3,White Collar Clerical,SUV,59,Football,Plan 1
41229223,45,2,M,X,Urban,1,0,White Collar Clerical,SUV,36,Football,Plan 5
79010151,66,3,M,E,Sub-urban,2,0,White Collar Clerical,SUV,26,Football,Plan 1
43881269,55,1,M,D,Sub-urban,1,3,White Collar Clerical,SUV,22,Football,Plan 1
70512211,20,1,M,C,Urban,1,0,White Collar Clerical,SUV,19,Football,Plan 5
72123524,53,1,M,R,Sub-urban,1,4,White Collar Clerical,SUV,18,Football,Plan 1
19088058,73,3,M,F,Sub-urban,1,3,White Collar Clerical,SUV,16,Football,Plan 1
75624252,63,3,M,V,Urban,2,2,White Collar Clerical,SUV,28,Football,Plan 5
33766291,36,3,M,T,Sub-urban,2,4,White Collar Clerical,SUV,9,Football,Plan 1
